id,Client_Name,Review
707,Esteban Nester,The servers were rude and the food was cold
708,Gerrie Yurkov,Worth the money
709,Levon Wimlet,Average
710,Ashli Bucham,Had an amazing time here
711,Alfredo Gemnett,Had an amazing time here
712,Sunshine Liddel,Great service
713,Brittany Rimell,Had an amazing time here
714,Samaria Ronaghan,Was disappointed
715,Luigi Bellringer,The servers were rude and the food was cold
716,Carmelina Scrafton,Terrible experience
717,Hersh Kupka,Great service
718,Dicky Loges,Had an amazing time here
719,Christina Bains,Amazing food but the service wasn't that good
720,Lemmie Proudler,The servers were rude and the food was cold
721,Alyse Ruggen,Amazing food but the service wasn't that good
722,Merrie Lincke,Terrible experience
723,Abagael Edlington,Got food poisoning
724,Raff Roggieri,Average
725,Stace Ambage,Definetely eating here again
726,Charlotta Manchester,Great service
727,Denis Mounsie,wouldn't recomment to anyone
728,Roxie Leblanc,Amazing food but the service wasn't that good
729,Dion Windeatt,Definetely eating here again
730,Manolo Fawlkes,Amazing food but the service wasn't that good
731,Polly Strick,Was disappointed
732,Elonore MacKnight,Amazing food but the service wasn't that good
733,Adora Middlemass,Got food poisoning
734,Broderic Keyser,Average
735,Jannelle Bescoby,Worth the money
736,Victor Julien,Was disappointed
737,Henderson Frackiewicz,Average
738,Dorian Aldersea,Amazing food but the service wasn't that good
739,Barrie Hew,Terrible experience
740,Lanette Madoc-Jones,Worth the money
741,Mariejeanne McBeath,Worth the money
742,Calhoun Edgeworth,Had an amazing time here
743,Winthrop Creboe,Average
744,Beale Ettridge,Average
745,Linda Mathelon,wouldn't recomment to anyone
746,Rupert Crathorne,wouldn't recomment to anyone
747,Rabbi Cardo,Had an amazing time here
748,Willard Tart,Got food poisoning
749,Lisabeth Friatt,Worth the money
750,Culver O' Molan,Average
751,Olwen Dauncey,Great service
752,Abigael Drewett,Definetely eating here again
753,Cam Adaway,Got food poisoning
754,Griffy Wheildon,Terrible experience
755,Hedi Olivelli,Average
756,Hildagarde Cesco,Great service
757,Wrennie Sterley,Was disappointed
758,Cal Boice,Average
759,Luigi Spraging,Had an amazing time here
760,Archer Hillett,Definetely eating here again
761,Kiele Stiggers,wouldn't recomment to anyone
762,Sissie Dahler,Definetely eating here again
763,Lonnie O' Donohoe,Good place for dining out
764,Kellen Pescott,wouldn't recomment to anyone
765,Sarge Syseland,Worth the money
766,Pepi Badham,Amazing food but the service wasn't that good
767,Jarrod Renison,Great service
768,Ginger Espina,Got food poisoning
769,Thorndike Reichert,The servers were rude and the food was cold
770,Kimberlyn Huccaby,Definetely eating here again
771,Ethelin Pitkaithly,Amazing food but the service wasn't that good
772,Holt Scoyles,The servers were rude and the food was cold
773,Stanleigh O'Nions,Amazing food but the service wasn't that good
774,Ruth Ochiltree,Had an amazing time here
775,Winfield Waryk,The servers were rude and the food was cold
776,Toiboid Leupold,Definetely eating here again
777,Kincaid Withringten,The servers were rude and the food was cold
778,Thatcher Lening,Had an amazing time here
779,Gothart Morrison,Had an amazing time here
780,Wilone Pelzer,Was disappointed
781,Glen Canlin,Amazing food but the service wasn't that good
782,Sidney Beeswing,Average
783,Michale Hoult,Good place for dining out
784,Angelo Jays,The servers were rude and the food was cold
785,Merilee Cambell,wouldn't recomment to anyone
786,Justino Beevor,Got food poisoning
787,Rosemarie Spanton,Average
788,Bord Crane,Great service
789,Julius Nano,Amazing food but the service wasn't that good
790,Janenna Weldrake,Was disappointed
791,Bryon Midden,Definetely eating here again
792,Rosalynd Thexton,Average
793,Alexandr Ondrousek,Great service
794,De Poschel,Great service
795,Wallas Olford,Great service
796,Carmella Lauritsen,Terrible experience
797,Natalina Ager,The servers were rude and the food was cold
798,Beauregard Jeffcoat,wouldn't recomment to anyone
799,Aurlie Ridolfi,Had an amazing time here
800,Jo ann McAuley,The servers were rude and the food was cold
801,Lilla Boyle,Worth the money
802,Cathryn MacLaren,wouldn't recomment to anyone
803,Bernie Booi,Got food poisoning
804,Woodie Golling,The servers were rude and the food was cold
805,Andy Caddick,The servers were rude and the food was cold
806,Helenelizabeth Delieu,Had an amazing time here
807,Welbie Ashman,wouldn't recomment to anyone
808,Keelby Sheen,Definetely eating here again
809,Lexis Iskower,Average
810,Vinson Hughs,Average
811,Whit Winckles,Average
812,Brander Iacobucci,Amazing food but the service wasn't that good
813,Wendel Joontjes,Terrible experience
814,Valentine Hedde,Got food poisoning
815,Lowrance Segge,Worth the money
816,Humfrey Perle,The servers were rude and the food was cold
817,Tomlin Marqyes,The servers were rude and the food was cold
818,Noelani Salter,Amazing food but the service wasn't that good
819,Julianna D'Ambrosio,Terrible experience
820,Armstrong Twells,Definetely eating here again
821,Maitilde Brands,Good place for dining out
822,Stafford Harower,Terrible experience
823,Howie Shaw,Terrible experience
824,Tadeas Bothams,Had an amazing time here
825,Letitia Gauchier,Definetely eating here again
826,Carlyn Verecker,Good place for dining out
827,Shirline Scohier,Was disappointed
828,Mommy Kinsell,Definetely eating here again
829,Willabella Wille,Got food poisoning
830,Broderic Cousans,Good place for dining out
831,Happy Pappi,Good place for dining out
832,Hussein Whal,The servers were rude and the food was cold
833,Caleb Deroche,wouldn't recomment to anyone
834,Kristian Terris,wouldn't recomment to anyone
835,Gilli Kezor,wouldn't recomment to anyone
836,Sophey Quenby,Worth the money
837,Bernadina Du Hamel,Great service
838,Damita Luckwell,Worth the money
839,Renado Zorzenoni,Amazing food but the service wasn't that good
840,Hyacinthe Giacopello,Amazing food but the service wasn't that good
841,Tiffany Godard,Amazing food but the service wasn't that good
842,Lancelot Lacer,Average
843,Roger Adamowicz,wouldn't recomment to anyone
844,Chlo Toffaloni,The servers were rude and the food was cold
845,Georgia Lavender,Average
846,Gilberto Mansfield,Was disappointed
847,Rhodie Anselmi,Worth the money
848,Joell Mayte,Terrible experience
849,Sibyl Tebboth,Amazing food but the service wasn't that good
850,Kelley Blanko,Amazing food but the service wasn't that good
851,Jayson Starkings,Terrible experience
852,Donaugh Chaulk,Average
853,Jamey Como,Worth the money
854,Chip Eastcourt,Good place for dining out
855,Iolande Stares,Average
856,Tamarra Danhel,Was disappointed
857,Nell Rippingale,Terrible experience
858,Hamlin Domenico,Was disappointed
859,Leopold Applegate,Terrible experience
860,Ronnie Allaker,Amazing food but the service wasn't that good
861,Viviene Neale,wouldn't recomment to anyone
862,Carole Codlin,Worth the money
863,Bryon Jirik,Average
864,Kristian Barker,Was disappointed
865,Cassi Gibbon,Great service
866,Kristine Linnit,Average
867,Hill Nazer,Terrible experience
868,Ruthie Littlewood,Average
869,Evelina Girkins,Got food poisoning
870,Bambie Gwyllt,Was disappointed
871,Terrell Vigors,Worth the money
872,Brianna Osgorby,The servers were rude and the food was cold
873,Fanny Dorrance,Great service
874,Marcelle Caughey,Worth the money
875,Dylan Primarolo,wouldn't recomment to anyone
876,Becki Rudge,Had an amazing time here
877,Wait Esser,wouldn't recomment to anyone
878,Pascale Wayland,Terrible experience
879,Em Excell,Average
880,Liuka Persicke,Amazing food but the service wasn't that good
881,Rickie Ethridge,Great service
882,Lina Scholtis,Amazing food but the service wasn't that good
883,Doll Causbey,Had an amazing time here
884,Gennifer Hancock,Had an amazing time here
885,Rouvin Jendricke,Was disappointed
886,Sanson Steers,Good place for dining out
887,Norbie Starr,Amazing food but the service wasn't that good
888,Robbie Lonergan,Amazing food but the service wasn't that good
889,Toiboid Coil,Amazing food but the service wasn't that good
890,Jessie McKinna,Terrible experience
891,Hurleigh Sneller,Average
892,Cecile Fenn,Definetely eating here again
893,Violet Roseborough,Terrible experience
894,Karoly Rushford,Amazing food but the service wasn't that good
895,Daria Macilhench,Definetely eating here again
896,Magdaia Ruslen,The servers were rude and the food was cold
897,Rodney Aleksandrikin,Had an amazing time here
898,Pia Goffe,Amazing food but the service wasn't that good
899,Bamby Bovis,Worth the money
900,Dino Whithorn,The servers were rude and the food was cold
901,Aeriela Vaillant,Worth the money
902,Jemmie Olle,Great service
903,Steve Spray,Definetely eating here again
904,Annamaria Torre,Was disappointed
905,Drucill Yerill,Got food poisoning
906,Amalea Freire,The servers were rude and the food was cold
907,Lelah Walesa,Had an amazing time here
908,Fredia Madle,Was disappointed
909,Man Roze,wouldn't recomment to anyone
910,Britni Rushforth,Terrible experience
911,Norah Pucker,Average
912,Sean Gyppes,Great service
913,Eolanda Gamett,Great service
914,Randall Goodlife,Good place for dining out
915,Micky Halsworth,Worth the money
916,Clim Senechault,wouldn't recomment to anyone
917,Delmar Traise,Definetely eating here again
918,Pate Straw,wouldn't recomment to anyone
919,Addi Boulder,Amazing food but the service wasn't that good
920,Melonie Pegram,Had an amazing time here
921,Mozelle Stiegar,Was disappointed
922,Reyna Glasper,Had an amazing time here
923,Phaidra Guppie,Definetely eating here again
924,John Robbins,Had an amazing time here
925,Shem Gonthier,wouldn't recomment to anyone
926,Annabel Peto,Was disappointed
927,Annabell Old,wouldn't recomment to anyone
928,Lebbie Blaxter,Got food poisoning
929,Myrtice Gulston,Worth the money
930,Sayre Wrigley,Was disappointed
931,Misti Batthew,Definetely eating here again
932,Tawnya Ewles,Definetely eating here again
933,Herrick McKenzie,Worth the money
934,Stefania Dockwray,Definetely eating here again
935,Ulla Lupton,Good place for dining out
936,Burty Kinchington,The servers were rude and the food was cold
937,Darci Hilldrup,The servers were rude and the food was cold
938,Stillmann Sankey,Good place for dining out
939,Angelique Pigott,Was disappointed
940,Hedwig Olivari,Amazing food but the service wasn't that good
941,Milt Sneddon,Amazing food but the service wasn't that good
942,Emlen Manton,Terrible experience
943,Letizia Danilovic,Terrible experience
944,Corilla Ilyukhov,Definetely eating here again
945,Jamima Showte,Worth the money
946,Evelyn Sergeaunt,Definetely eating here again
947,Maggie Costell,The servers were rude and the food was cold
948,Ingra Clubley,Definetely eating here again
949,Oby Pharo,Definetely eating here again
950,Denyse Campo,wouldn't recomment to anyone
951,Marj Attride,Amazing food but the service wasn't that good
952,Michele Sturror,Was disappointed
953,Mohandis Garnsworth,Terrible experience
954,Obie Runciman,Definetely eating here again
955,Walton MacCartair,wouldn't recomment to anyone
956,Wit McKechnie,Definetely eating here again
957,Renell Guiet,Great service
958,Dale Hambling,Worth the money
959,Tomlin Very,Good place for dining out
960,Baily Muge,wouldn't recomment to anyone
961,Tierney Motte,wouldn't recomment to anyone
962,Tommy Caustic,The servers were rude and the food was cold
963,Micheil Vedekhov,Amazing food but the service wasn't that good
964,Melony Martinelli,wouldn't recomment to anyone
965,Esdras Tillman,Had an amazing time here
966,Cyrillus Saggs,The servers were rude and the food was cold
967,Lia Giraudat,Good place for dining out
968,Cherey Roots,Average
969,Cecil Mapples,Worth the money
970,Dimitry Birrel,The servers were rude and the food was cold
971,Chalmers Scholes,Was disappointed
972,Kaitlyn Rizzello,Was disappointed
973,Guillermo Aiskovitch,Terrible experience
974,Allianora Worsalls,Had an amazing time here
975,Jenine Houten,Had an amazing time here
976,Clotilda Antoshin,The servers were rude and the food was cold
977,Paige Basketfield,Average
978,Sher Ollivier,The servers were rude and the food was cold
979,Bethanne Duffit,Was disappointed
980,Imogene Clingoe,Terrible experience
981,Sharai Habbon,Good place for dining out
982,Marcia Scrinage,The servers were rude and the food was cold
983,Jodi Kittow,The servers were rude and the food was cold
984,Tristan Gorman,Got food poisoning
985,Scarlet Wardingley,Great service
986,Derek Formigli,The servers were rude and the food was cold
987,Erin Toon,Worth the money
988,Pincus Pagett,wouldn't recomment to anyone
989,Zacharia Lindbergh,The servers were rude and the food was cold
990,Nancey Crimpe,Got food poisoning
991,Maddalena Mitchelhill,Average
992,Shalne Choppen,wouldn't recomment to anyone
993,Josephine Winton,Definetely eating here again
994,Yorke Tellenbrok,Worth the money
995,Leon Ould,wouldn't recomment to anyone
996,Nikola Calcraft,Amazing food but the service wasn't that good
997,Ethyl Sloey,Got food poisoning
998,Boniface Yule,Got food poisoning
999,Linnell Ronchi,Great service
1000,Tabbie Langlois,Got food poisoning
